RespondentID,count
0000031813,1
99-0024957,1
0001225033,1
0000057997,11
0000058437,5
0000003536,4
0000006380,4
0000014723,15
0000001303,11
0000001592,5
0000003987,10
0000004878,11
0000005318,4
0000011393,8
0000014066,16
0000014228,10
0000023020,11
0000024029,11
0000024362,11
0000024524,11
0000065565,11
0000067347,11
0000068571,10
1375600003,4
0000017685,2
0000058932,5
0000019629,11
0000015614,11
0000034325,11
0000010169,11
0000705636,7
0000030428,11
0000014679,11
0000004265,11
27-0411463,6
56-1447645,4
58-2200634,8
73-1432800,7
54-1870627,9
41-2259092,7
0000063783,5
0000703692,6
0000712269,6
0000013788,10
0000034776,7
26-4102492,4
33-0970598,2
20-1401154,5
33-0875305,7
0000024975,3
0000000863,1
42-1526507,2
0000021194,3
1302600007,1
99-0008145,1
0000058275,1
20-2838708,1
99-0026460,1
0000057709,9
52-2303662,2
0000002808,4
0000003870,4
0000005652,4
0000008163,4
0000012609,4
0000010827,2
0000014562,11
0000024363,10
0000062604,6
0000063289,11
0000065728,11
0000067348,10
0000067681,11
0000068239,11
0000086059,2
0000097084,11
0623009990,11
20-2091168,2
2467100004,7
38-3489833,2
66-0224450,11
7516800003,11
7811400009,2
0000497404,7
83-0368926,11
46-0429381,11
0001972298,11
0000058889,8
0000012285,4
0000289757,11
0000057880,9
0000659855,11
0003150447,7
0000012898,11
0000790543,1
0000031158,11
0000456157,11
0000213912,11
0000022905,11
0000010214,11
0000029764,3
0000783910,4
0002826316,4
0000011718,9
74-3038404,6
0000058276,2
0000024976,4
0000498746,1
0003304428,3
0000000251,10
0000018621,10
0000019512,10
0000020628,7
0000022086,10
0000034777,8
0000058438,6
20-3075822,5
0000825977,1
0000019468,3
22-3566214,3
33-0970030,3
0000353359,4
0000013789,1
0000034821,3
1453800005,1
7730300004,1
87-0581442,1
43-1469365,1
0000057386,2
0000057430,2
0000001305,4
0000014725,4
0000012330,11
0000024364,3
0000024526,11
0000060823,11
0000061219,11
0000061552,11
0000067187,11
0000068573,11
0000097085,11
04-3244326,4
1171200007,2
1314600008,3
20-3846313,2
66-0190521,10
66-0220392,10
7667200009,11
0000016958,11
0000016840,22
0000019351,6
0000035100,11
0000009712,11
0000034778,11
0000005815,11
0000015292,11
0000011601,11
0000025093,13
0000001143,11
0000010828,4
0000012781,11
0000001756,10
45-4889921,5
0000702190,7
0000058772,6
38-3480536,2
95-4789675,1
0000007435,7
0000008326,5
0000024977,5
0000708149,5
0000009668,8
0000011557,10
0000013177,8
0000017687,9
0000022131,8
0000058321,6
0000061101,4
42-1554463,1
20-1379530,5
80-0066631,5
99-0057413,1
20-4222161,2
22-3889307,2
74-3110521,1
0000008939,4
0000009055,3
0000031203,3
52-2350652,1
99-0008480,1
0000057882,11
0000058278,9
0000058322,10
0000090227,11
13-3432069,11
0000000866,15
0000006707,15
0000015455,4
0000018010,4
0000000091,10
0000005816,7
0000011891,11
0000097086,1
1803100007,10
1812200002,3
66-0349904,8
7116100002,5
7516400009,5
84-1358570,3
0000980661,7
0002888798,11
0003138146,3
0000014113,11
0000025094,3
0000269049,8
0000656733,3
0000728742,1
0000504713,7
0000058935,8
0000010829,11
0000005203,11
0000014564,8
0000680457,11
0000028262,7
0000208244,4
0000000253,10
0000030313,7
0000009669,11
0000327855,4
0000012331,11
0000910118,11
0003277241,9
0000699105,5
0000008660,11
0000440110,5
0005112926,1
0004384520,5
37-1273743,4
0000379470,7
0000013835,11
0000024860,3
0000068574,9
0000059051,7
0000804422,11
0000020468,3
45-3508295,6
20-2485875,8
47-3705377,1
0000018623,4
0000702353,4
0000381026,5
0000925653,5
0002718345,9
0000010216,4
0000016959,9
0000025869,10
0000034328,10
0000034823,5
0000238755,1
99-0715220,1
0000034210,4
99-0706923,1
06-6130942,1
20-4310371,1
0000902270,4
0002752527,3
0000026480,1
16-1696714,1
0000066341,1
1098000002,1
0000021359,2
0000569253,1
0003197826,1
0000057432,4
0000058279,10
38-3024363,11
0000000416,9
0000000911,11
0000002531,11
0000003378,10
0000007275,7
0000007770,9
0000014565,11
0000024410,11
0000061716,11
0000068575,10
7354200000,5
0000024861,8
0000031043,11
0000017120,11
0000002036,21
0000025752,11
0000008210,11
0000011397,11
0000011603,11
0000019515,4
0000016185,11
0000024528,3
36-4771976,3
33-0175937,6
66-0476427,7
20-8552989,6
04-3554784,2
0000701463,1
0000000092,7
0000009057,10
0000013223,7
0000018129,10
0000022746,6
38-2467147,3
26-1342307,1
0000067846,3
0000030927,2
0000023970,1
0000015951,3
0000022089,2
0000024979,4
0000065118,1
99-0703756,1
0000057884,5
0000090229,5
36-4526122,5
66-0626683,6
0000002983,4
0000003874,4
0000015952,4
0000016843,4
0000001759,11
0000002037,11
0000010100,11
0000015457,7
0000021694,11
0000060051,11
0000062897,11
0000063832,11
0000064110,11
0000066343,11
0000066956,10
0000067072,5
0000067234,2
0000068576,10
05-0447801,11
52-2102740,11
5785809994,5
66-0214491,8
66-0623839,8
7373400006,3
7459700000,5
0000214807,11
0003567269,10
0000018012,11
0000595869,7
0000013675,11
0000216922,3
0000022134,7
0000813947,10
0000014566,11
0000012946,9
0000025140,2
0000017077,11
0003248849,11
0002353595,7
0000030810,4
0000058937,8
0000000093,10
0000339773,9
0000058324,8
93-1296762,8
0000007276,10
0000012333,7
0000017121,3
0000703859,1
0000703903,3
0000707756,3
0000037949,7
0000457547,10
0000533227,10
0000000912,5
0000015501,10
0000016799,7
0000018625,6
20-0315363,6
0000035103,3
0000001597,2
0000015790,4
0001890374,1
0002040961,2
0002356925,4
0003211768,2
0003369016,2
0000034663,2
0000057271,1
1359700003,1
77-0420999,1
26-1147017,1
66-0615991,2
0000546647,1
75-1991208,3
0000004315,4
0000008050,4
0000015953,15
0000018013,4
0000000256,11
0000001309,10
0000005495,11
0000010101,4
0000012334,11
0000021244,11
0000023521,22
0000024250,15
0000060827,2
0000063789,11
0000065291,11
1004900001,11
1360809998,11
7196900005,5
0000020353,11
0000018626,11
0000012947,11
0000019850,11
0000013063,11
0000008663,11
0000702518,7
0000011443,11
0000068577,9
0000097089,6
0000058776,9
0000030154,11
41-2277737,3
45-3979890,5
63-1246790,2
81-4970104,1
52-1917405,1
0000007772,5
0000024368,7
0000704633,2
99-0057868,1
0000016187,9
0000016231,10
0000027536,5
65-1113234,6
0000068621,3
0000013838,1
0000021857,3
0000024412,1
20-3539651,4
0000026483,2
0000002984,2
0000009059,2
99-0022613,1
0000057930,2
0000058164,11
0000000257,4
0000003920,3
0000005991,4
0000007935,3
0000015954,4
0000017079,4
0000001148,11
0000008169,11
0000014568,11
0000020516,11
0000024251,6
0000060666,11
0000063834,11
0000065003,10
0000066840,11
0000068460,11
1164400002,10
13-4362989,10
1656200000,3
51-0517525,10
7101200003,2
7943800003,2
48-1024691,2
65-0924915,11
0000013677,1
0000247551,11
0000034052,11
0000015792,10
0000026484,11
0000005658,11
0000456045,11
0000664756,5
0000706254,11
0000034214,11
0000365325,11
0000024369,11
0000017736,11
0000011444,11
0000068578,9
0000017123,11
0000060215,7
20-2715422,7
39-1460253,6
91-1569077,2
0000068622,4
0000008051,7
0000010102,7
0000712202,6
0000310875,8
0000833271,9
0000009104,10
0000011895,7
0000026646,6
52-1690525,1
0000000095,1
0000015459,1
20-5251727,3
0000005702,3
0000012830,1
0000010391,1
7280700000,1
66-0718458,1
0000058165,10
0000091005,10
0000001149,4
0000004812,2
0000006432,4
0000007774,4
0000000258,22
0000001644,11
0000002535,11
0000003264,11
0000005497,11
0000009556,10
0000019401,22
0000024414,11
0000060216,11
0000060711,2
0000065950,2
0000066346,11
0000066508,5
0000066841,11
0000068579,10
1278200005,4
1821100000,11
20-3938920,1
0000023523,15
0000717893,7
0000013678,11
0000019690,4
0000019195,11
0000025143,1
0000026647,11
0000068623,6
38-2799035,6
36-6071399,1
0000058778,6
0000013722,7
0000702402,5
0000713383,1
0000008214,10
0000034053,5
16-1245395,6
99-0035378,1
0000015504,6
0000058822,2
63-0924907,2
0000012787,3
0000035106,3
0000035395,4
0000058327,1
0000057275,11
0000057888,11
0000058166,5
0000058210,11
38-3550157,9
58-2598615,4
0000018016,3
0000000303,14
0000005380,11
0000009106,20
0000011941,8
0000013228,2
0000019853,11
0000060712,9
0000062170,11
0000067238,11
1855800007,8
4216200005,4
7801700003,3
86-0806399,6
0000675332,11
0000022020,11
0000011446,11
0000025144,1
0000019358,6
0000011608,11
0002354985,11
0000018467,11
0000026530,11
0000009719,11
0000031381,5
0000781028,11
0000034711,11
0003019982,11
87-0481540,1
11-3290207,9
46-3331326,1
0000014290,8
0000702692,2
0000704474,5
0000018962,10
0000023524,7
0000029816,5
0000033938,8
0000035396,5
0000003878,2
0000007937,1
0000013679,4
0000017620,2
0000024253,2
01-0649904,2
0000015299,1
0000015794,3
0000057932,1
0000068462,1
20-1106575,1
7509200009,1
99-0024731,1
0000058211,2
0000058329,5
0000002988,4
0000003879,4
0000004652,4
0000007938,4
0000001033,7
0000006885,11
0000007776,11
0000008667,11
0000009558,2
0000010600,11
0000011780,10
0000024254,11
0000060056,11
0000060669,3
0000061604,11
0000068463,11
06-1652426,11
0870209991,9
1987400004,4
2418900007,2
4934609990,3
0000022139,11
0000021699,11
0000001808,11
0000028151,11
0000024092,11
0000708039,7
0000035441,11
84-1412422,5
04-3189975,2
46-3718247,1
65-0855140,1
0000704475,6
0000005994,10
0000011609,6
0000011942,5
0000017739,8
0000057276,4
0000058662,5
36-4045996,2
87-0567410,7
99-0021726,1
0000057933,1
99-0023841,1
0000005048,2
0000009440,1
0000016730,3
0000020852,4
0000026487,4
0000026649,3
0000035108,2
20-3142277,1
58-1992208,1
7369900001,1
0000006434,1
0000057772,8
0000057934,10
0000000143,4
0000003267,4
0000007939,3
0000008217,3
0000000594,11
0000004202,11
0000005049,3
0000006435,6
0000008550,11
0000010395,10
0000017127,11
0000060057,11
0000061605,11
0000062172,11
0000066349,11
0000066844,11
0660266868,3
1722400006,5
20-3757393,5
66-0222560,10
7240400005,2
93-1190071,8
0000028765,1
0000011286,11
0000153054,11
0000865450,4
0000309150,11
0000011448,11
0000021906,11
0003374412,6
0000016849,11
0002434113,6
0000013112,11
0003325759,9
0000990352,9
0000528102,7
45-0455253,1
74-2508160,8
81-1250682,2
82-0953703,1
45-2107596,1
0000068626,3
0000704476,6
0000707644,6
0000318835,10
0000637750,4
0000009108,6
0000015183,9
0000027423,9
0000034669,10
0000058212,5
20-4795336,2
0001844939,2
0001847332,2
0003119163,2
0000024093,1
1623500007,1
1917700009,1
0000495352,1
11-3201126,1
11-3303646,2
0003850206,2
0000003150,4
0000004492,4
0000000306,22
0000008218,11
0000009109,11
0000009604,11
0000011944,11
0000014455,10
0000017623,11
0000060058,11
0000060553,10
0000061606,2
0000063064,2
0000065503,11
0000068465,11
01-0675089,2
05-0402708,11
0660669989,2
1431900001,5
1746800001,10
1999400005,5
20-2029302,10
20-8207683,10
23-2438194,11
33-0543486,3
7087500006,4
7702800007,3
0000018514,11
0000022636,11
0000016075,11
0000013113,11
0000018019,11
0000008056,8
0000017128,11
0000014617,10
0000011782,4
0000029657,11
0000018190,11
46-3986756,4
0000058664,6
0000058826,5
0000008100,4
0000033823,10
0000034101,9
0000034219,7
0000058213,5
76-0340141,1
27-4318010,2
52-0278529,1
0000015346,7
0000035281,1
0000057773,2
0000096699,2
0000024256,1
20-4813787,2
0000005707,3
0000010440,2
0000025804,3
0000035399,1
0000008551,1
1611500009,1
7874300006,1
33-0646941,1
39-2033567,2
0000057279,10
0000058214,10
0000090290,11
0000002422,4
0000003313,4
0000003764,4
0000004817,4
0000001982,11
0000006275,11
0000011170,11
0000013727,2
0000015185,11
0000022637,15
0000024419,6
0000060059,11
0000060103,11
0000068510,11
1635900004,11
20-8544905,11
2022500009,4
33-0231744,11
38-3363546,2
54-0756781,11
7132800009,4
7915500009,3
95-4399912,11
0000000307,11
0000004042,11
0000613307,7
0000034102,11
0000034058,6
0000703587,7
0000008714,11
0000013565,11
0000016689,8
0000016076,11
0000014005,11
0000068628,5
0000028316,11
0000703136,7
20-8763489,7
75-2791828,9
46-0972768,4
34-1812174,10
0000005997,6
0000024257,10
0000717942,1
0000808167,7
0000016120,8
0000016733,10
0000019695,5
0000035444,10
0000017462,4
0000130943,3
0000818625,1
0001194951,4
0001845057,2
0001847172,2
0000023410,1
0000034391,1
0000011945,1
20-1107965,1
52-1815063,1
0002736714,2
0003545324,1
0000057162,11
0000058215,6
0000090291,11
0000000597,4
0000000803,12
0000001532,6
0000003927,4
0000002874,11
0000004043,11
0000005547,22
0000008715,11
0000010442,5
0000017012,11
0000022520,11
0000024753,14
0000060717,11
0000065299,10
0000065956,9
0000066847,9
0000067576,11
0000068511,11
0000309928,8
0812509998,2
1022700003,3
54-1779092,4
91-1872563,3
0000022971,11
0000020856,11
0000015799,20
0000014619,9
0000058828,8
0000008058,11
0000025149,1
0000016239,11
0000068629,5
0000030819,5
81-4312733,1
45-5523107,1
0000018192,6
0000061284,2
0000708420,2
20-3263718,2
0000014790,8
0000019858,10
0000022476,5
0000034554,5
0000035445,10
0000061897,6
0000024096,7
0000024302,1
39-1976474,3
0000032277,3
0000034059,3
0000034392,4
0000058710,2
20-1941645,1
0000011171,1
0000057776,11
0000057820,3
0000058054,11
0000004044,4
0000007212,4
0000008059,8
0000014007,4
0000015682,4
0000008554,11
0000009607,11
0000017464,10
0000060105,11
0000061447,11
0000065506,2
0000066848,11
0000067739,11
0000068350,3
2599900002,4
47-0933090,11
5135809997,3
58-2203537,2
66-0269897,10
13-3222578,11
0000004701,11
0003041974,7
0000032773,11
0002618780,5
0000014458,11
0000029209,11
0000013116,11
0000027760,11
0000033826,11
0003913147,7
0000018355,11
0000026536,11
0000021630,9
23-3102701,6
81-5294275,1
0000010399,3
0000060600,6
66-0476202,4
0000024303,16
0000024754,4
0000705091,5
0000705910,3
0000715054,2
0000105222,9
0000896856,10
0000912578,3
0003626858,6
0000034393,10
0000058711,4
76-0399555,2
20-2368435,5
99-0028139,1
20-0354063,2
0000272218,4
0000543253,3
0002040402,2
0000008103,4
0000012225,2
0000025645,3
0134027351,1
0000068017,1
0000068512,1
0391888397,1
7756600001,1
43-1594702,2
99-0021118,1
0000057777,11
0000000805,4
0000001039,15
0000003767,4
0000008104,4
0000014792,4
0000017960,15
0000000643,1
0000002876,10
0000004702,9
0000005387,11
0000005431,11
0000005549,11
0000006160,11
0000016574,13
0000019085,11
0000061286,11
0000061330,11
0000066731,11
0000066849,10
31-1690008,11
20-2592077,2
22-3603316,2
31-1277764,5
0000058712,9
0000028157,7
0000024755,10
0000000148,14
0000018194,11
0000062339,4
0000702130,7
20-2409656,7
76-0735903,3
0000058668,4
0000701195,2
0000714939,2
0000010606,9
56-2148480,3
99-0017943,1
0000023864,6
0000008393,1
0000014008,3
0000015070,3
0000018356,2
0000001372,4
0000026537,1
0000026870,1
0000004658,1
20-2885810,1
7072400005,1
93-1254679,1
0000006278,2
99-0022794,1
0000058218,6
0000000644,26
0000003155,4
0000006774,11
0000006936,11
0000010283,11
0000018195,11
73-1722607,2
7419800009,4
7768600002,3
7810600004,11
7858400006,3
0000063069,7
0000772008,7
0000018519,11
0000019581,11
0000015684,1
0000013000,11
0000001373,11
0000403151,4
0000006161,11
0000361653,2
0000030704,11
0000004208,9
0000035286,11
0000023090,11
0000029995,3
0000020741,11
20-4514405,5
01-0831459,4
30-0092197,2
41-2261870,1
0000058100,4
0000700016,4
0000700962,4
0000704364,1
0000715100,1
0000149271,8
0000858210,6
0003251081,5
0000008718,5
0000027267,10
0000034106,9
0000058713,6
54-2039888,2
0000236751,4
0001844827,2
0000015233,4
0000020246,3
0000034601,4
0000009609,1
0000058056,1
0000534345,1
26-3061513,1
0000058057,11
0000058101,9
0000017962,4
0000002760,11
0000006775,11
0000012679,11
0000015072,11
0000061170,11
0000061332,8
0000066733,11
0000068353,11
0000068515,4
1395700000,3
75-2725402,11
0000009330,4
0000058390,7
0000018402,11
0000020698,11
0000016125,11
0000027763,2
0000005271,11
0000011670,11
0000011788,11
0000718063,7
0000001536,11
0000019744,11
0000023091,11
0000010608,11
0000013290,19
27-2767591,3
0000013614,8
0000018358,6
0000001374,10
0000015685,6
0000016620,7
0000019582,5
0000023415,7
0000033216,10
0000033829,6
0000034440,6
0000024801,3
26-4418238,2
58-2539277,6
0000023253,4
20-1665277,2
0000017629,2
0000027150,3
0000034107,3
99-0020068,1
0000057167,10
0000057211,2
0000058553,6
99-0008423,1
0000015686,4
0000000808,11
0000005885,21
0000007667,3
0000009331,10
0000010898,11
0000011176,6
0000011789,11
0000012067,11
0000017017,11
0000020699,9
0000066734,11
0000067012,11
0000067625,11
1006400007,11
1130500000,3
1259400007,2
20-5273833,3
20-8717323,1
34-1719615,10
0000023092,16
0000417626,11
0000034397,11
0000011833,3
0000819855,11
0000542528,11
0000485559,7
0000034108,9
0000029546,11
0000004048,11
0000034603,11
0000024758,9
0000782306,6
0000018854,11
0000004994,9
0000012229,11
0000004705,11
0000074140,10
0000024640,11
0000068354,7
0000030544,11
0000024802,9
0000001870,5
0000027269,11
14-1886719,8
36-3575871,7
0000006776,7
0000008891,5
0000023867,7
0000708876,6
0000718064,1
0000747846,9
0000825146,7
0003690662,8
0000011671,10
0000035170,7
32-0273125,3
26-1480741,5
0000023416,7
0002845755,8
0000378026,1
0000603232,2
0000011338,1
0000034559,2
0000016577,1
2092600007,1
26-3818984,1
99-0022841,1
0000057212,4
0000057825,2
0000058103,6
0000090297,11
41-2181683,11
58-1608709,3
0000001420,3
0000001538,4
0000004544,4
0000005273,4
0000006164,15
0000006326,4
0000014840,4
0000018080,1
0000007217,11
0000013616,11
0000018242,14
0000060605,11
0000063116,11
0000066735,4
0000068517,11
01-0594393,2
01-0726495,10
1173900006,11
1191300004,7
1693600008,4
1764600003,4
66-0266327,10
7158700003,4
7462000008,4
7533000003,4
7597300000,3
7929000008,11
0000005886,11
0000001376,11
0000022526,11
0000035333,11
0000017964,11
0000013454,11
0000010330,11
0000018198,11
0000008892,11
0000030707,7
0000028818,7
0000013292,11
0000058716,9
0000002311,12
0000014507,11
0000004049,11
06-1819106,8
76-0678163,7
75-2695327,6
26-0362771,5
46-2884509,3
86-0766296,2
66-0258803,7
0000701856,1
0000711990,2
0000002762,10
0000008397,5
0000009170,10
0000009332,10
0000010448,6
0000015731,7
0000021635,10
0000032327,10
22-3026348,2
20-2069793,5
0000000485,4
0000010781,3
0000023868,1
0000022977,3
0000064502,1
36-4225752,1
99-0014823,1
0000057169,5
0000057213,4
0000057826,3
0000058104,2
0000007056,4
0000008109,4
0000018081,1
0000006660,6
0000006778,11
0000008442,9
0000009289,11
0000015732,11
0000064503,10
0000066736,8
0000067465,11
0000068356,11
0000068400,4
0953409990,2
3606909993,10
7332300002,8
0000017514,10
0000032779,11
0000991135,11
0000014184,1
0000018199,11
0000016579,15
0000029548,11
0000619327,11
0000590248,11
0000012113,11
0000003654,11
0000705141,7
0000028701,11
0000062677,6
0000029430,9
43-1901144,7
20-5113139,4
27-0202259,5
26-4771220,1
0000023300,7
0000715717,3
99-0057647,1
0000478766,10
0000993250,7
0002269838,2
0000001377,8
0000034443,9
0000035172,10
76-0586058,5
20-0830196,5
0000067627,1
0000108072,1
0004424136,1
0000000981,3
0000023913,3
20-5338059,2
0000495857,1
0002736442,2
0003394401,2
0000001421,2
0000007551,2
0000018243,2
0000033219,3
3026009992,1
0000058717,1
0000057214,10
0000058394,4
0000058556,10
0000090181,11
0000001260,4
0000007101,15
0000018082,1
0000000649,11
0000006328,11
0000007552,11
0000011836,11
0000060445,5
0000061831,10
0000064342,11
0000067015,4
14-2003017,4
1461700004,11
1516000002,4
22-3932984,10
26-0455770,10
68-0570826,11
7007900004,6
95-4607423,2
0000007714,11
0000015733,11
0000011674,11
0000014347,11
0000003817,11
0000014680,11
0000058105,5
0000034606,11
0000013951,11
0000005275,11
0000023257,11
0000702631,7
0000704369,7
37-1493496,10
72-1591908,1
0000005932,10
0000023752,9
0000705755,4
0000706033,3
0000717338,4
0000009947,10
0000023301,9
0000026263,9
0000029882,8
0000032329,2
20-4361491,5
34-1842620,5
0000024805,3
0000024481,2
0000014842,4
0000708266,4
0000030547,4
0000002151,4
0000024030,1
0000008399,1
0000068519,1
20-2074519,1
26-2644756,3
99-0001405,1
0000057053,4
0000057215,9
0000058106,6
0000058395,9
0000058557,1
38-3602342,6
0000003043,4
0000006167,4
0000006824,4
0000017967,11
0000018083,1
0133098068,2
0000000532,2
0000001261,11
0000014348,3
0000021971,13
0000060608,11
0000061337,4
0000062066,11
0000062228,10
0000068196,11
0000068240,9
0000068402,11
1154700004,7
1596200005,4
20-5605694,8
4264709990,11
7020900006,11
7291100002,10
7299000001,5
7416700009,11
0000016012,6
0000014843,11
0000706809,7
0002119773,11
0000828651,7
0000010171,11
0000006662,10
0000015734,6
0000034445,11
0000034607,11
0002142155,11
0000003656,11
0001445943,11
0000014230,11
0000013790,11
0000881544,1
0000013006,4
0000152057,11
0000058719,9
0000003818,4
0000008606,11
0000024482,6
0000015572,11
27-0022323,5
22-3626426,6
0000063614,7
0000482772,6
0000908508,4
0000013295,2
0000016625,10
0000023302,10
0000704414,5
0000001874,10
0000012610,10
0000019631,10
0000020134,8
71-0717727,5
0000024806,2
0000369453,5
16-1370571,2
99-0016941,1
0004720940,1
20-8693531,2
0002912367,3
0000000488,1
1079800003,1
