Activity Year,Respondent Identification Number,Agency Code,Parent Identification Number,Parent Name,Parent City,Parent State,Region,Assets,Other Lender Code,Respondent Name,Respondent Address,Respondent City,Respondent State,Respondent Zip Code,Tax ID
2009,0000000209,1,          ,                              ,                         ,  ,04,0009901044,0,FIRST NATIONAL BANK OF OMAHA  ,1620 DODGE STREET                       ,OMAHA                    ,NE,68197     ,47-0259043
2009,0000000249,1,          ,                              ,                         ,  ,01,0008210895,0,FIRST NATIONAL BANK OF PA     ,3320 E STATE ST                         ,HERMITAGE                ,PA,16148     ,25-1255405
2009,0000000311,1,          ,                              ,                         ,  ,01,0000960896,0,ADAMS COUNTY NATIONAL BANK    ,LOAN SERVICES PO BOX 3L29               ,GETTYSBURG               ,PA,17325     ,23-0581360
2009,0000000324,1,          ,                              ,                         ,  ,01,0000629874,0,FIRST NATIONAL BANK & TRUST CO,40 SOUTH STATE STREET                   ,NEWTOWN                  ,PA,18940     ,23-0916895
2009,0000000325,1,          ,                              ,                         ,  ,01,0000363107,0,FNB BANK  N.A.                ,100 INDEPENDENCE ST                     ,SHAMOKIN                 ,PA,17872     ,24-0558097
2009,0000000336,1,          ,                              ,                         ,  ,05,0030786926,0,FIRST TENNESSEE BANK NA       ,165 MADISON                             ,MEMPHIS                  ,TN,38103     ,62-0201385
2009,0000000347,1,          ,                              ,                         ,  ,03,0000053812,0,FNB LACON                     ,111 S BROAD ST PO BOX 308               ,LACON                    ,IL,61540     ,36-1078900
2009,0000000497,1,          ,                              ,                         ,  ,01,0000183079,0,THE FIRST NATIONAL BANK OF SUF,30 BRIDGE STREET  P.O. BOX 96           ,SUFFIELD                 ,CT,06078     ,06-0343370
2009,0000000568,1,          ,                              ,                         ,  ,01,0000721879,0,FIRST KEYSTONE NATIONAL BANK  ,111 WEST FRONT ST                       ,BERWICK                  ,PA,18603     ,24-0525403
2009,0000000644,1,          ,                              ,                         ,  ,01,0000477893,0,THE HONESDALE NATIONAL BANK   ,733 MAIN ST  PO BOX 350                 ,HONESDALE                ,PA,18431     ,24-0614415
2009,0000000661,1,          ,                              ,                         ,  ,01,0000534358,0,DNB FIRST  NA                 ,4 BRANDYWINE AVE.                       ,DOWNINGTOWN              ,PA,19335     ,23-0534545
2009,0000000676,1,          ,                              ,                         ,  ,01,0000234980,0,NATIONAL GRAND BANK           ,91 PLEASANT STREET                      ,MARBLEHEAD               ,MA,01945     ,04-2832782
2009,0000000709,1,          ,                              ,                         ,  ,01,0000531553,0,1ST NATIONAL BK OF LITCHFIELD ,13 NORTH STREET PO BOX 578              ,LITCHFIELD               ,CT,06759     ,06-0343400
2009,0000000866,1,          ,                              ,                         ,  ,01,0000317266,0,THE MILFORD NATIONAL BANK     ,300 EAST MAIN STREET                    ,MILFORD                  ,MA,01757     ,04-1620797
2009,0000000929,1,          ,                              ,                         ,  ,01,0000198487,0,NATIONAL UNION BANK OF KINDERH,ONE HUDSON STREET                       ,KINDERHOOK               ,NY,12106     ,14-0913619
2009,0000000976,1,          ,                              ,                         ,  ,01,0000148236,0,PUTNAM COUNTY NATIONAL BANK   ,43 GLENEIDA AVENUE                      ,CARMEL                   ,NY,10512-0010,14-0984850
2009,0000000981,1,          ,                              ,                         ,  ,01,0000040684,0,STISSING NATIONAL BANK        ,2971 CHURCH STREET; PO BOX 651          ,PINE PLAINS              ,NY,12567     ,14-1096135
2009,0000001027,1,          ,                              ,                         ,  ,01,0000411851,0,THE LYONS NATIONAL BANK       ,35 WILLIAM STREET                       ,LYONS                    ,NY,14489     ,15-0372430
2009,0000001083,1,          ,                              ,                         ,  ,01,0000111348,0,FIRST NATIONAL BANK OF GROTON ,161 MAIN STREET                         ,GROTON                   ,NY,13073     ,15-0328960
2009,0000001090,1,          ,                              ,                         ,  ,01,0001359556,0,ALLIANCE BANK NA              ,120 MADISON ST                          ,SYRACUSE                 ,NY,13202     ,15-0405885
2009,0000001154,1,          ,                              ,                         ,  ,03,0000274978,0,FIRST NATIONAL BANK OF OTTAWA ,701 LASALLE STREET                      ,OTTAWA                   ,IL,61350     ,36-1588745
2009,0000001194,1,          ,                              ,                         ,  ,01,0000144445,0,ROCKPORT NATIONAL BANK        ,P.O. BOX 90  16 MAIN STREET             ,ROCKPORT                 ,MA,01966     ,04-1782774
2009,0000001195,1,          ,                              ,                         ,  ,01,0000253515,0,NATIONAL BANK OF MIDDLEBURY   ,30 MAIN STREET  P O BOX 189             ,MIDDLEBURY               ,VT,05753-0189,03-0143997
2009,0000001253,1,          ,                              ,                         ,  ,01,0000356323,0,BALLSTON SPA NATIONAL BANK    ,87 FRONT ST.                            ,BALLSTON SPA             ,NY,12020     ,14-0486153
2009,0000001316,1,          ,                              ,                         ,  ,01,0140777455,0,PNC BANK NA                   ,249 FIFTH AVE. MS P1-POPP-22-2          ,PITTSBURGH               ,PA,15222     ,22-1146430
2009,0000001354,1,          ,                              ,                         ,  ,01,0005306865,0,NBT BANK NA                   ,52 SOUTH BROAD STREET                   ,NORWICH                  ,NY,13815     ,15-0395735
2009,0000001368,1,          ,                              ,                         ,  ,01,0000486950,0,COMMUNITY NATIONAL BANK       ,4811 US ROUTE 5  PO BOX 259             ,DERBY                    ,VT,05829     ,03-0288082
2009,0000001398,1,          ,                              ,                         ,  ,01,0000189027,0,NATIONAL BANK OF COXSACKIE    ,3-7 REED STREET                         ,COXSACKIE                ,NY,12051-0400,14-0912110
2009,0000001461,1,          ,                              ,                         ,  ,04,1227040000,0,CITIBANK  N.A.                ,601 LEXINGTON AVENUE  20TH FLOOR        ,NEW YORK                 ,NY,10022     ,13-5266470
2009,0000001467,1,          ,                              ,                         ,  ,04,0000476521,0,LANDMARK BANK N.A.            ,801 EAST BROADWAY                       ,COLUMBIA                 ,MO,65201     ,43-0263025
2009,0000001493,1,          ,                              ,                         ,  ,03,0000729128,0,FIRST SOUTHERN NATIONAL BANK  ,99 LANCASTER ST                         ,STANFORD                 ,KY,40484     ,61-0290000
2009,0000001516,1,          ,                              ,                         ,  ,01,0000483931,0,UNION NATIONAL COMMUNITY BANK ,101 E MAIN ST                           ,MOUNT JOY                ,PA,17552     ,23-1171595
2009,0000001741,1,          ,                              ,                         ,  ,04,0538958000,0,WELLS FARGO BANK  NA          ,1 HOME CAMPUS  4TH FLOOR  MAC X2301-042 ,DES MOINES               ,IA,50328     ,94-1347393
2009,0000001750,1,          ,                              ,                         ,  ,04,0000628260,0,FIRST NATIONAL BANK OF SANTA F,P.O. BOX 609                            ,SANTA FE                 ,NM,87504-0609,85-0067165
2009,0000001770,1,          ,                              ,                         ,  ,04,0001126431,0,BOONE COUNTY NATIONAL BANK    ,720 EAST BROADWAY                       ,COLUMBIA                 ,MO,65201     ,43-0189015
2009,0000001794,1,          ,                              ,                         ,  ,03,0000204222,0,FIRST NATIONAL BANK MINNESOTA ,500 LONG STREET                         ,MANKATO                  ,MN,56001     ,41-0519725
2009,0000001950,1,          ,                              ,                         ,  ,05,0000992565,0,FIRST NATIONAL BANK           ,P.O. BOX 7                              ,FORT SMITH               ,AR,72902     ,71-0058845
2009,0000001997,1,          ,                              ,                         ,  ,03,0000523956,0,NATIONAL BANK & TRUST COMPANY ,PO BOX 711                              ,WILMINGTON               ,OH,45177     ,31-0244820
2009,0000002036,1,          ,                              ,                         ,  ,03,0000343126,0,VINTON COUNTY NATIONAL BANK   ,112 W MAIN ST PO BOX 460                ,MCARTHUR                 ,OH,45672     ,31-4332540
2009,0000002068,1,          ,                              ,                         ,  ,04,0000718213,0,FIRST DAKOTA NATIONAL BANK    ,225 CEDAR ST                            ,YANKTON                  ,SD,57078-0156,46-0208038
2009,0000002137,1,          ,                              ,                         ,  ,01,0009164828,0,NATIONAL PENN BANK            ,PO BOX 547                              ,BOYERTOWN                ,PA,19512     ,23-0906608
2009,0000002151,1,          ,                              ,                         ,  ,01,0000924816,0,WILBER NATIONAL BANK          ,245 MAIN STREET P.O. BOX 430            ,ONEONTA                  ,NY,13820     ,15-0492520
2009,0000002234,1,          ,                              ,                         ,  ,03,0002041199,0,FIRST MERCHANTS BANK NA       ,9301 INNOVATION DR  P O BOX 549         ,DALEVILLE                ,IN,47334     ,35-0508403
2009,0000002242,1,          ,                              ,                         ,  ,03,0000156510,0,HAVANA NATIONAL BANK          ,112 SOUTH ORANGE                        ,HAVANA                   ,IL,62644-0200,37-0317760
2009,0000002302,1,          ,                              ,                         ,  ,03,0000101530,0,FIRST NATIONAL BANK OF BELLEVU,120 NORTH ST                            ,BELLEVUE                 ,OH,44811     ,34-4186000
2009,0000002311,1,          ,                              ,                         ,  ,01,0002322457,0,CAMDEN NATIONAL BANK          ,245 COMMERCIAL STREET                   ,ROCKPORT                 ,ME,04856     ,01-0039505
2009,0000002333,1,          ,                              ,                         ,  ,01,0002054241,0,UNIVEST NATIONAL BANK & TRUST ,10 W. BROAD ST  PO BOX 64197            ,SOUDERTON                ,PA,18964     ,23-1171580
2009,0000002360,1,          ,                              ,                         ,  ,03,0000648792,0,LCNB NATIONAL BANK            ,2 NORTH BROADWAY                        ,LEBANON                  ,OH,45036     ,31-0352330
2009,0000002413,1,          ,                              ,                         ,  ,03,0001163463,0,CITIZEENS FIRST NATIONAL BANK ,128 E DAKOTA ST                         ,SPRING VALLEY            ,IL,61362     ,36-0917979
2009,0000002449,1,          ,                              ,                         ,  ,03,0000418271,0,MERCHANTS NATIONAL BANK       ,PO BOX 10                               ,HILLSBORO                ,OH,45133     ,31-0373340
2009,0000002477,1,          ,                              ,                         ,  ,05,0000195296,0,FIRST NATIONAL BANK OF WEATHER,220 PALO PINTO                          ,WEATHERFORD              ,TX,76086     ,75-0641890
2009,0000002503,1,          ,                              ,                         ,  ,03,0000161218,0,HOMETOWN NATIONAL BANK        ,260 BUCKLIN ST.                         ,LASALLE                  ,IL,61301     ,36-1366389
2009,0000002515,1,          ,                              ,                         ,  ,01,0000688423,0,THE EPHRATA NATIONAL BANK     ,31 EAST MAIN STREET  PO BOX 457         ,EPHRATA                  ,PA,17522-0457,23-0559393
2009,0000002560,1,          ,                              ,                         ,  ,03,0000156855,0,FARMERS NATIONAL BANK         ,P.O. BOX 188                            ,CYNTHIANA                ,KY,41031     ,61-0189293
2009,0000002725,1,          ,                              ,                         ,  ,03,0000639969,0,FIRST NATIONAL BANK AND TRUST ,345 E GRAND AVE                         ,BELOIT                   ,WI,53511     ,39-0159135
2009,0000002747,1,          ,                              ,                         ,  ,03,0001304420,0,HORIZON BANK  N.A.            ,515 FRANKLIN SQUARE                     ,MICHIGAN CITY            ,IN,46360     ,35-1076581
2009,0000002780,1,          ,                              ,                         ,  ,04,0000108606,0,FIRST NATIONAL BANK OF WAHOO  ,201 E 5TH STREET                        ,WAHOO                    ,NE,68066     ,47-0326425
2009,0000002782,1,          ,                              ,                         ,  ,04,0003480952,0,INTRUST BANK  N. A.           ,105 N MAIN                              ,WICHITA                  ,KS,67202-1412,48-0477525
2009,0000003033,1,          ,                              ,                         ,  ,04,0000109357,0,MIDAMERICAN BANK & TRUST CO   ,401 DELAWARE STREET                     ,LEAVENWORTH              ,KS,66048     ,48-0306563
2009,0000003060,1,          ,                              ,                         ,  ,04,0000184081,0,JONES NATIONAL BANK & TRUST CO,PO BOX 469                              ,SEWARD                   ,NE,68434     ,47-0206095
2009,0000003091,1,          ,                              ,                         ,  ,04,0000090027,0,FIRST NATIONAL BANK           ,206 EAST HARVEY                         ,WELLINGTON               ,KS,67152     ,48-0468914
2009,0000003105,1,          ,                              ,                         ,  ,04,0000257669,0,FIRST NATIONAL BANK           ,316 E BREMER AVE                        ,WAVERLY                  ,IA,50677-0837,42-0253313
2009,0000003124,1,          ,                              ,                         ,  ,04,0000656865,0,THE SECURITY NATIONAL BANK OF ,601 PIERCE ST                           ,SIOUX CITY               ,IA,51101     ,42-0943319
2009,0000003147,1,          ,                              ,                         ,  ,01,0000117103,0,NATIONAL BANK OF MALVERN      ,2 WEST KING STREET                      ,MALVERN                  ,PA,19355     ,23-0906630
2009,0000003175,1,          ,                              ,                         ,  ,04,0000293719,0,CITIZENS BANK  N.A.           ,200 S. MAIN  P O BOX 899                ,FORT SCOTT               ,KS,66701-0899,48-0168914
2009,0000003218,1,          ,                              ,                         ,  ,04,0000239063,0,CORNERBANK  N.A.              ,900 MAIN ST - PO BOX 545                ,WINFIELD                 ,KS,67156-0545,48-0482125
2009,0000003286,1,          ,                              ,                         ,  ,05,0000192068,0,FIRST NATIONAL BANK OF BAIRD  ,1849 S 1ST STREET                       ,ABILENE                  ,TX,79602     ,75-0125206
2009,0000003385,1,          ,                              ,                         ,  ,04,0000163672,0,FIRST NATIONAL BANK OF ANTHONY,203 W MAIN                              ,ANTHONY                  ,KS,67003-0484,48-0122785
2009,0000003393,1,          ,                              ,                         ,  ,04,0001159455,0,THE FIRST NATIONAL BANK IN SIO,100 SOUTH PHILLIPS AVE                  ,SIOUX FALLS              ,SD,57117     ,46-0189380
2009,0000003434,1,          ,                              ,                         ,  ,04,0000126154,0,FIRST NATIONAL BANK OF WAMEGO ,806 W 5TH ST                            ,WAMEGO                   ,KS,66547     ,48-0464795
2009,0000003509,1,          ,                              ,                         ,  ,04,0000240092,0,CITIZENS BANK OF KANSAS  NA   ,300 N MAIN                              ,KINGMAN                  ,KS,67068     ,48-0296945
2009,0000003533,1,          ,                              ,                         ,  ,05,0000122449,0,THE FIRST NATIONAL BANK OF BAL,911 HUTCHINGS AVE                       ,BALLINGER                ,TX,76821     ,75-0127095
2009,0000003543,1,          ,                              ,                         ,  ,04,0000090067,0,FIRST NATIONAL.BANK & TRUST CO,PO BOX 348                              ,JUNCTION CITY            ,KS,66441     ,48-0220695
2009,0000003654,1,          ,                              ,                         ,  ,03,0000879130,0,FARMERS NATIONAL BANK         ,1 S. MAIN ST.                           ,NILES                    ,OH,44446     ,34-0214400
2009,0000003656,1,          ,                              ,                         ,  ,05,0001967150,0,CADENCE BANK  N.A.            ,P. O. BOX 1187                          ,STARKVILLE               ,MS,39760-1187,64-0156695
2009,0000003711,1,          ,                              ,                         ,  ,03,0000050484,0,THE ATLANTA NATIONAL BANK     ,105 SW CHURCH STREET                    ,ATLANTA                  ,IL,61723     ,37-0160185
2009,0000003720,1,          ,                              ,                         ,  ,04,0001065956,0,FIRST NATIONAL BANK OF OLATHE ,444 EAST SANTA FE                       ,OLATHE                   ,KS,66051-1500,48-0357605
2009,0000003724,1,          ,                              ,                         ,  ,03,0000213173,0,FIRST NATIONAL BANK-FOX VALLEY,550 S GREEN BAY RD                      ,NEENAH                   ,WI,54956     ,39-0464543
2009,0000003817,1,          ,                              ,                         ,  ,01,0001393853,0,CANANDAIGUA NATIONAL BANK     ,72 SOUTH MAIN STREET                    ,CANANDAIGUA              ,NY,14424     ,16-1073040
2009,0000003956,1,          ,                              ,                         ,  ,04,0000426705,0,BAKER BOYER BANK              ,7 W MAIN ST.                            ,WALLA WALLA              ,WA,99362     ,91-0135040
2009,0000004013,1,          ,                              ,                         ,  ,01,0000053325,0,THE LENOX NATIONAL BANK       ,7 MAIN STREET / PO BOX 1632             ,LENOX                    ,MA,01240-1632,04-1536185
2009,0000004039,1,          ,                              ,                         ,  ,01,0000325744,0,THE FIRST NATIONAL BANK OF MIF,2 NORTH MAIN STREET  PO BOX 96          ,MIFFLINTOWN              ,PA,17059     ,23-0873877
2009,0000004076,1,          ,                              ,                         ,  ,05,0000105338,0,FIRST NATIONAL BANK MCGREGOR  ,P O BOX 387                             ,MCGREGOR                 ,TX,76657     ,74-0775779
2009,0000004093,1,          ,                              ,                         ,  ,05,0000297010,0,FIRST NATIONAL BANK OF BASTROP,489 HIGHWAY 71 WEST                     ,BASTROP                  ,TX,78602     ,74-0501835
2009,0000004097,1,          ,                              ,                         ,  ,05,0000452316,0,NATIONAL BANK                 ,905 MAIN STREET                         ,GATESVILLE               ,TX,76528     ,74-0640690
2009,0000004107,1,          ,                              ,                         ,  ,01,0000259449,0,THE NATIONAL CAPITAL BANK     ,316 PENNSYLVANIA AVE SE                 ,WASHINGTON               ,DC,20003     ,53-0114960
2009,0000004137,1,          ,                              ,                         ,  ,03,0000252611,0,THE STEPHENSON NAT'L BANK & TR,1820 HALL AVE  PO BOX 137               ,MARINETTE                ,WI,54143     ,39-0638020
2009,0000004166,1,          ,                              ,                         ,  ,05,0001105537,0,FIRST FINANCIAL BANK N.A.     ,400 PINE ST                             ,ABILENE                  ,TX,79601-5128,75-0264200
2009,0000004208,1,          ,                              ,                         ,  ,05,0000329149,0,FIRST NATIONAL BANK OF HUNTSVI,1300 11TH ST                            ,HUNTSVILLE               ,TX,77340     ,74-0702223
2009,0000004230,1,          ,                              ,                         ,  ,01,0001582361,0,SUFFOLK COUNTY NATIONAL BANK  ,P.O. BOX 9000                           ,RIVERHEAD                ,NY,11901     ,11-1380045
2009,0000004238,1,          ,                              ,                         ,  ,05,0000164032,0,FIRST NATIONAL BANK OF BEEVILL,1400 E. HOUSTON ST.                     ,BEEVILLE                 ,TX,78102     ,74-0505903
2009,0000004241,1,          ,                              ,                         ,  ,05,0000205693,0,FIRST NATL BANK OF BELLVILLE  ,PO BOX 128                              ,BELLVILLE                ,TX,77418-0128,74-0507285
2009,0000004246,1,          ,                              ,                         ,  ,05,0000223998,0,THE COMANCHE NATIONAL BANK    ,100 E CENTRAL                           ,COMANCHE                 ,TX,76442     ,75-0202612
2009,0000004265,1,          ,                              ,                         ,  ,05,0000519561,0,LEGEND BANK N.A.              ,101 WEST TARRANT STREET                 ,BOWIE                    ,TX,76230     ,75-0150372
2009,0000004284,1,          ,                              ,                         ,  ,04,0000901102,0,CENTRAL NATIONAL BANK         ,100 RIMROCK DR                          ,JUNCTION CITY            ,KS,66441     ,48-1174053
2009,0000004299,1,          ,                              ,                         ,  ,03,0000201236,0,CARLINVILLE NATIONAL BANK     ,PO BOX 350                              ,CARLINVILLE              ,IL,62626     ,37-0205706
2009,0000004341,1,          ,                              ,                         ,  ,04,0020778268,0,ZIONS FIRST NATIONAL BANK     ,ONE S MAIN ST  11TH FL                  ,SALT LAKE CITY           ,UT,84133-1109,87-0189025
2009,0000004418,1,          ,                              ,                         ,  ,05,0000220665,0,FIRST NATIONAL BANK IN GRAHAM ,623 ELM ST                              ,GRAHAM                   ,TX,76450     ,75-0297800
2009,0000004483,1,          ,                              ,                         ,  ,05,0000488155,0,FIRST NB OF JACKSBORO         ,P.O. DRAWER E                           ,JACKSBORO                ,TX,76458     ,75-0357836
2009,0000004596,1,          ,                              ,                         ,  ,03,0002981688,0,OLD SECOND NATIONAL BANK      ,37 S RIVER ST                           ,AURORA                   ,IL,60507-4173,36-1577458
2009,0000004620,1,          ,                              ,                         ,  ,03,0000252575,0,FIRST NATIONAL BANK           ,140 W HURON STREET                      ,BERLIN                   ,WI,54923     ,39-0280510
2009,0000004639,1,          ,                              ,                         ,  ,03,0000322555,0,WOODTRUST BANK  N.A.          ,181 2ND STREET SOUTH PO BOX 8000        ,WISCONSIN RAPIDS         ,WI,54495-8000,39-0720440
2009,0000004701,1,          ,                              ,                         ,  ,05,0000096446,0,TEXAS HERITAGE NATIONAL BANK  ,PO BOX W                                ,DAINGERFIELD             ,TX,75638     ,75-0456915
2009,0000004742,1,          ,                              ,                         ,  ,04,0001647527,0,SUNFLOWER BANK  N.A.          ,2090 S OHIO  PO BOX 800                 ,SALINA                   ,KS,67401     ,48-0216075
2009,0000004774,1,          ,                              ,                         ,  ,01,0000281601,0,THE FIRST NATIONAL BANK OF IPS,31 MARKET STREET                        ,IPSWICH                  ,MA,01938     ,04-1473215
2009,0000004860,1,          ,                              ,                         ,  ,04,0000136231,0,MIDLAND NATIONAL BANK         ,527 N MAIN                              ,NEWTON                   ,KS,67114     ,48-0334515
2009,0000004934,1,          ,                              ,                         ,  ,03,0000247319,0,FIRST NATIONAL BANK OF CARMI  ,201 E MAIN ST  P O BOX 70               ,CARMI                    ,IL,62821     ,37-0206222
2009,0000004945,1,          ,                              ,                         ,  ,04,0000835953,0,UMB NBA                       ,1008 OAK ST                             ,KANSAS CITY              ,MO,64106     ,48-0347850
2009,0000004975,1,          ,                              ,                         ,  ,03,0000793228,0,BANK FIRST NATIONAL           ,402 NORTH 8TH STREET                    ,MANITOWOC                ,WI,54220     ,39-0447799
2009,0000004994,1,          ,                              ,                         ,  ,03,0000243363,0,THE FIRST NATIONAL BANK       ,432 W GALLATIN                          ,VANDALIA                 ,IL,62471     ,37-0562445
2009,0000005073,1,          ,                              ,                         ,  ,01,0000351471,0,FARMERS & MERCHANTS BANK OF WE,222 MARKET STREET  PO BOX 958           ,KITTANNING               ,PA,16201     ,25-0660700
2009,0000005179,1,          ,                              ,                         ,  ,05,0015112135,0,FROST NATIONAL BANK           ,100 W. HOUSTON T-5                      ,SAN ANTONIO              ,TX,78205     ,74-0635455
2009,0000005203,1,          ,                              ,                         ,  ,05,0000226192,0,WAGGONER NATIONAL BANK        ,P O BOX 2271                            ,VERNON                   ,TX,76385-2271,75-0634430
2009,0000005224,1,          ,                              ,                         ,  ,05,0000058405,0,FIRST NATIONAL BANK OF PAWNEE ,PO BOX 366                              ,PAWNEE                   ,OK,74058     ,73-0394693
2009,0000005263,1,          ,                              ,                         ,  ,05,0000927162,0,FIRST CITIZENS NATIONAL BANK  ,P.O. BOX 370                            ,DYERSBURG                ,TN,38025-0370,62-0201100
2009,0000005267,1,          ,                              ,                         ,  ,03,0000141126,0,RIDDELL NATIONAL BANK         ,PO BOX 340                              ,BRAZIL                   ,IN,47834     ,35-0613236
2009,0000005275,1,          ,                              ,                         ,  ,05,0000168370,0,CITY NATIONAL BANK            ,116 W. 3RD ST.                          ,TAYLOR                   ,TX,76574     ,74-0560700
2009,0000005288,1,          ,                              ,                         ,  ,05,0000198118,0,FIRST NATIONAL BANK OF GILMER ,201 NORTH WOOD                          ,GILMER                   ,TX,75644     ,75-0291493
2009,0000005304,1,          ,                              ,                         ,  ,03,0000080434,0,FIRST NATIONAL BANK OF OGDEN  ,P.O. BOX 47                             ,OGDEN                    ,IL,61859     ,37-0274750
2009,0000005347,1,          ,                              ,                         ,  ,05,0002743888,0,STILLWATER NATIONAL BANK      ,608 S MAIN                              ,STILLWATER               ,OK,74074-4059,73-0470195
2009,0000005413,1,          ,                              ,                         ,  ,04,0000150488,0,THE RAWLINS NATIONAL BANK     ,220 FIFTH STREET                        ,RAWLINS                  ,WY,82301     ,83-0141300
2009,0000005425,1,          ,                              ,                         ,  ,03,0000191577,0,LIBERTY NATIONAL BANK         ,100 E FRANKLIN ST                       ,KENTON                   ,OH,43326     ,34-4173465
2009,0000005466,1,          ,                              ,                         ,  ,05,0000196970,0,FIRST NATIONAL BANK OF SONORA ,102 N. MAIN STREET                      ,SONORA                   ,TX,76950     ,75-0568556
2009,0000005481,1,          ,                              ,                         ,  ,01,0000373603,0,THE FARMERS NATIONAL BANK OF E,612 MAIN STREET  PO DRAWER D            ,EMLENTON                 ,PA,16373     ,25-0472020
2009,0000005484,1,          ,                              ,                         ,  ,05,0000265153,0,CITIZENS NATIONAL BANK        ,PO DRAWER 111                           ,CAMERON                  ,TX,76520     ,74-0557720
2009,0000005528,1,          ,                              ,                         ,  ,05,0000186049,0,FIRST NATIONAL BANK           ,100 WEST HIGH STREET                    ,MANCHESTER               ,TN,37355     ,62-0201370
2009,0000005547,1,          ,                              ,                         ,  ,05,0000334064,0,FIRST NATIONAL BANK & TRUST CO,P O BOX 1130                            ,CHICKASHA                ,OK,73023-1130,73-0181535
2009,0000005552,1,          ,                              ,                         ,  ,03,0001993254,0,PEOPLES BANK  NATIONAL ASSOCIA,138 PUTNAM STREET                       ,MARIETTA                 ,OH,45750     ,31-1278433
2009,0000005559,1,          ,                              ,                         ,  ,04,0000056540,0,FIRST NATIONAL BANK OF SO KS  ,100 N. OHIO                             ,MOUNT HOPE               ,KS,67108     ,48-0344966
2009,0000005581,1,          ,                              ,                         ,  ,05,0001046808,0,AUSTIN BANK TEXAS N. A.       ,P O BOX 438                             ,WHITEHOUSE               ,TX,75791     ,75-0358895
2009,0000005584,1,          ,                              ,                         ,  ,03,0000081416,0,FNB OF CHILLICOTHE            ,900 N. FOURTH STREET                    ,CHILLICOTHE              ,IL,61523-0339,37-0274605
2009,0000005599,1,          ,                              ,                         ,  ,01,0000290564,0,THE MARS NATIONAL BANK        ,P O BOX 927                             ,MARS                     ,PA,16046     ,25-0640500
2009,0000005629,1,          ,                              ,                         ,  ,03,0000286997,0,FCN BANK NATIONAL ASSOCIATION ,501 MAIN STREET/ P.O. BOX 37            ,BROOKVILLE               ,IN,47012     ,35-0320211
2009,0000005658,1,          ,                              ,                         ,  ,03,0000154846,0,THE PESHTIGO NATIONAL BANK    ,250 FRENCH ST                           ,PESHTIGO                 ,WI,54157     ,39-0534160
2009,0000005674,1,          ,                              ,                         ,  ,05,0000132034,0,FIRST NATIONAL BANK           ,P. O. BOX 29                            ,WINNSBORO                ,TX,75494     ,75-0665079
2009,0000005737,1,          ,                              ,                         ,  ,05,0000142411,0,FIRST NATIONAL BANK OF TRENTON,P O BOX 4                               ,TRENTON                  ,TX,75490     ,75-0619485
2009,0000005741,1,          ,                              ,                         ,  ,05,0000185272,0,GILMER NATIONAL BANK          ,900 NORTH WOOD                          ,GILMER                   ,TX,75644     ,75-0261226
2009,0000005750,1,          ,                              ,                         ,  ,05,0000796529,0,FIRST NATIONAL BANK TEXAS     ,507 N. GRAY ST.                         ,KILLEEN                  ,TX,76541     ,74-2681037
